DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200814461,09/24/2020 12:00:00 AM,09/24/2020 12:00:00 AM,1710,08,West LA,0898,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ROBERTSON                    BL,GIBSON                       ST,34.0375,-118.3886
201215562,06/29/2020 12:00:00 AM,06/29/2020 12:00:00 AM,0730,12,77th Street,1263,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,81ST,DENKER,33.9655,-118.3046
200210168,05/14/2020 12:00:00 AM,05/12/2020 12:00:00 AM,2100,02,Rampart,0266,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 S  UNION                        AV,,34.0531,-118.2738
200714301,09/27/2020 12:00:00 AM,09/22/2020 12:00:00 AM,1430,07,Wilshire,0702,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 N  FULLER                       AV,,34.0853,-118.3499
200906009,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2230,09,Van Nuys,0914,2,806,PANDERING,0908 1212 1402,0,F,X,101,STREET,,,AO,Adult Other,806,998,,,SEPULVEDA,BASSETT,34.1958,-118.4662
200218448,12/11/2020 12:00:00 AM,12/10/2020 12:00:00 AM,2000,02,Rampart,0271,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,900 S  ALVARADO                     ST,,34.0529,-118.2819
200618540,11/27/2020 12:00:00 AM,11/27/2020 12:00:00 AM,0950,06,Hollywood,0642,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,ORANGE,SUNSET,34.0981,-118.3577
200316510,08/30/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2050,03,Southwest,0333,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AO,Adult Other,510,,,,JEFFERSON,HARCOURT,34.0278,-118.3378
200504009,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2100,05,Harbor,0526,2,946,OTHER MISCELLANEOUS CRIME,1501 0906 1816,0,X,X,101,STREET,,,AA,Adult Arrest,946,,,,G,ISLAND,33.7783,-118.2662
200808682,04/25/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1400,08,West LA,0858,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,8800 W  PICO                         BL,,34.0548,-118.3837
200810737,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1600,08,West LA,0829,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,1300    WOODRUFF                     AV,,34.0633,-118.4292
201116973,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,0332,11,Northeast,1169,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,200 S  AVENUE 51,,34.1038,-118.1987
200510994,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,0230,05,Harbor,0563,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,14TH                         ST,PACIFIC                      AV,33.7315,-118.2879
201107590,03/22/2020 12:00:00 AM,03/21/2020 12:00:00 AM,2000,11,Northeast,1137,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,700 N  AVENUE 50,,34.1109,-118.2016
200119680,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1800,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800    CONWAY                       PL,,34.0366,-118.2325
200410224,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,0400,04,Hollenbeck,0471,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4TH,CLARENCE,34.0427,-118.2237
